id,農業,森林,交通,水利,商業,純住宅,混合住宅,製造業,倉儲,宗教,殯葬,其他建築用地,學校,醫療,其他公共利用土地,遊憩,礦業,其他
221,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
