Unnamed: 0,匯入時間,統計時間,銀行代號,分支機構代號,金融機構名稱,分支機構名稱,地址,lat,lng
3270,20211201,202110,517,38,南市區漁會,安南分部,台南市安南區城中里安中路六段685號,23.0645689,120.1282937
3271,20211201,202110,518,17,南縣區漁會,南縣區漁會,台南市佳里區進學路240號,23.1643169,120.176243
3272,20211201,202110,518,28,南縣區漁會,七股分部,台南市七股區龍山里1鄰9－11號,23.1260996,120.0954076
3273,20211201,202110,518,39,南縣區漁會,北門分部,台南市北門區鯤江里823號,23.2902206,120.1517133
3274,20211201,202110,518,40,南縣區漁會,將軍港分部,台南市將軍區平沙里1之10號,23.217185,120.095505
3275,20211201,202110,518,51,南縣區漁會,青山港分部,台南市將軍區鯤鯓里50之2號,23.189655,120.0859979
3276,20211201,202110,518,73,南縣區漁會,永吉分部,台南市七股區永吉里51－31號,23.0937255,120.1256186
3277,20211201,202110,519,18,新化區農會,新化區農會,台南市新化區信義路450號,23.0347757,120.3033632
3278,20211201,202110,519,29,新化區農會,那拔林分部,台南市新化區那拔林297號,23.0678064,120.3504867
3279,20211201,202110,519,30,新化區農會,中山分部,台南市新化區中山路243－1號,23.0359483,120.3083403
3311,20211201,202110,541,19,白河區農會,白河區農會,台南市白河區三民路412號,23.3516817,120.4157373
3312,20211201,202110,541,20,白河區農會,市場分部,台南市白河區新富街8之1號,23.3487409,120.4160004
3313,20211201,202110,541,31,白河區農會,玉豐分部,台南市白河區玉豐里22之10號,23.380996600000003,120.4166344
3314,20211201,202110,541,42,白河區農會,關嶺分部,台南市白河區關嶺里3鄰46號,23.3171844,120.5106372
3315,20211201,202110,541,53,白河區農會,竹門分部,台南市白河區竹門里28之13號,23.376539,120.4467349
3316,20211201,202110,542,10,麻豆區農會,麻豆區農會,台南市麻豆區興中路127號,23.1837824,120.2512095
3317,20211201,202110,542,21,麻豆區農會,新生分部,台南市麻豆區油車里14鄰新生北路56號,23.1864349,120.2414377
3318,20211201,202110,542,32,麻豆區農會,復光分部,台南市麻豆區海埔里莊禮寮2號,23.197731,120.212757
3319,20211201,202110,542,43,麻豆區農會,安業分部,台南市麻豆區安業里安業90－2號,23.1602698,120.2466662
3320,20211201,202110,547,15,後壁區農會,後壁區農會,台南市後壁區後壁里97號,23.368281,120.362244
3321,20211201,202110,547,26,後壁區農會,菁寮分部,台南市後壁區墨林里346號,23.3765945,120.3392266
3322,20211201,202110,547,37,後壁區農會,安溪分部,台南市後壁區長安里50號,23.3332989,120.3576569
3323,20211201,202110,547,48,後壁區農會,新東分部,台南市後壁區新東里145之8號,23.3394779,120.3283817
3324,20211201,202110,547,59,後壁區農會,上茄苳分部,台南市後壁區嘉民里203之1號,23.387109,120.382479
3325,20211201,202110,547,60,後壁區農會,竹新分部,台南市後壁區竹新里117之5號,23.3433044,120.3003035
3326,20211201,202110,549,17,下營區農會,下營區農會,台南市下營區中山路一段133號,23.235861,120.2642139
3327,20211201,202110,549,28,下營區農會,中營分部,台南市下營區開化里262－1號,23.2136069,120.275576
3328,20211201,202110,549,39,下營區農會,中興分部,台南市下營區中山路一段40號,23.2348984,120.26194479999998
3329,20211201,202110,549,40,下營區農會,甲中分部,台南市下營區紅甲里中庄子69號,23.2189842,120.2729063
3330,20211201,202110,551,12,官田區農會,官田區農會,台南市官田區隆田里文化街25號,23.19382610000001,120.3183394
3331,20211201,202110,551,23,官田區農會,官田辦事處,台南市官田區官田里122號,23.186192,120.33939
3332,20211201,202110,551,34,官田區農會,渡頭辦事處,台南市官田區渡頭里92號,23.169222,120.326714
3333,20211201,202110,551,45,官田區農會,西庄辦事處,台南市官田區西庄里61－1號,23.1825162,120.2930943
3334,20211201,202110,551,56,官田區農會,湖山辦事處,台南市官田區湖山里99－5號,23.2084736,120.3478746
3335,20211201,202110,551,67,官田區農會,二鎮辦事處,台南市官田區二鎮里67－1號,23.2063507,120.3262535
3336,20211201,202110,552,13,大內區農會,大內區農會,台南市大內區大內里9號,23.1192073,120.3568212
3337,20211201,202110,552,24,大內區農會,頭社分部,台南市大內區頭社里1－10號,23.1433699,120.38473020000002
3338,20211201,202110,552,35,大內區農會,環湖分部,台南市大內區環湖里58之2號,23.1477902,120.4182545
3339,20211201,202110,552,46,大內區農會,二溪辦事處,台南市大內區曲溪里1－17號,23.11742000000001,120.391724
3340,20211201,202110,556,17,學甲區農會,學甲區農會,台南市學甲區仁得里6鄰華宗路315號,23.230796,120.1823668
