匯入時間,統計時間,縣市,停車場名稱,停車場地址,汽車停車位數,機車停車位數,lat,lng
20211201,202110,台南,麻豆區機三地下停車場,臺南市麻豆區興南路16號,22,0,23.183037,120.24854
20211201,202110,台南,麻豆區新建辦公大樓公共停車場,臺南市麻豆區忠孝路250號,104,71,23.185152,120.25824
20211201,202110,台南,將軍區公一停車場,臺南市將軍區忠興里180-50號，文康中心、圖書館旁(飛砂崙公園),51,25,23.200985,120.16042
20211201,202110,台南,後壁區停車場,臺南市後壁區區公所後方,12,0,23.367016,120.36238
20211201,202110,台南,白河區停三停車場,臺南市白河區新興路與光華路口,60,0,23.352416,120.41986
20211201,202110,台南,東山區停二停車場,臺南市東山區龍鳳街與新東路口,90,15,23.322425,120.40168
20211201,202110,台南,鹽水區停三停車場,臺南市鹽水區治水路268巷(鹽水區農會與衛生所交接處),28,0,23.320063,120.2653
20211201,202110,台南,大內區大內公園廣場停車場,臺南市大內區西拉雅親子公園內(台84頭社交流道旁),116,10,23.142772,120.37054
20211201,202110,台南,臺灣歷史博物館西北側停車場(廣停AN11-1),臺南市安南區館安路與館安二路交叉口,165,70,23.064113,120.22807
20211201,202110,台南,安南區自辦重劃，廣停1,臺南市安南區慈安路與安通二街口,30,0,23.032589,120.20599
20211201,202110,台南,安南區自辦重劃，廣停2,臺南市安南區安西一街與安通一街口,45,0,23.031147,120.20777
20211201,202110,台南,安平港鯤鯓站臨時免費公有停車場,臺南市南區安平港聯外道路(四鯤鯓碼頭管制站前),84,13,22.966607,120.16586
20211201,202110,台南,黃金海岸停車場,臺南市南區西濱公路182.5公里處(黃金海岸旁),328,0,22.935294,120.1761
20211201,202110,台南,舉喜堂路外停車場(廣停S7),臺南市南區明興路1087巷,13,0,22.929536,120.18607
20211201,202110,台南,北成路38巷口臨時免費公有停車場,臺南市北區北成路、北成路38巷口(北成基督教會旁),37,0,23.018889,120.2105
20211201,202110,台南,成功里福安公園臨時免費公有停車場,臺南市北區北成路、北成路186巷、372巷間,19,36,23.021012,120.20759
20211201,202110,台南,北成路，停N15,臺南市北區北成路與北安路一段262巷口,18,0,23.020049,120.2076
