Unnamed: 0,匯入時間,統計時間,工廠名稱,地址,中行業別,細行業別,耗用原料,主要產品,lat,lng
55386,20211201,202110,金牌不銹鋼鋁門窗安南二廠,臺南市安南區總頭里北安路三段２９５巷６０弄１號,金屬製品業,金屬建築組件製造業,,鋁門窗,23.0477664210942,120.20661389058
55387,20211201,202110,新興螺絲工廠,臺南市安南區安東里安和路一段３７２號,金屬製品業,螺絲、螺帽及鉚釘製造業,,螺絲、螺蝐,23.0336643560184,120.2126952834
55388,20211201,202110,東陽實業廠股份有限公司十一廠,臺南市安南區新順里政安路９１號,金屬製品業,金屬模具製造業,,模具,23.0411506194307,120.219554452736
55389,20211201,202110,金統興業有限公司,臺南市安南區新順里永安二街３３號,金屬製品業,金屬建築組件製造業,,防火門窗,23.044749781575103,120.21870179029
55390,20211201,202110,司高精密工業有限公司,臺南市安南區新順里永安二街３１號,金屬製品業,其他金屬加工處理業,,鑄鋼件,23.0448669142097,120.218685990477
55391,20211201,202110,建東鐵工廠,臺南市安南區安東里安和路一段３６８號,金屬製品業,金屬模具製造業,,五金模具,23.033551395115,120.212678280018
55392,20211201,202110,成紘科技有限公司二廠,臺南市安南區新順里安和路二段３１８巷１２５弄７７號,機械設備業,電子及半導體生產用機械設備製造業,不銹鋼材,真空配管、真空零件製品,23.0440149872783,120.219155847686
55393,20211201,202110,東陽實業廠股份有限公司九廠,臺南市安南區安東里政安路２５０巷２０２號,汽車及零件業,汽車零件製造業,,汽車機車零件,23.0391342989041,120.219373852914
55394,20211201,202110,偉訓科技股份有限公司,臺南市安南區安東里安和路二段５４巷２２５號,電腦電子及光學品業,其他電腦週邊設備製造業,,電腦機殼、電源供應器,23.0354597745924,120.216927028497
55395,20211201,202110,巨益企業有限公司和順廠,臺南市安南區安東里安和路二段５４巷２２２弄１１號,其他運輸工具零件業,機車零件製造業,,機車及其零件,23.036060458178,120.217565950632
55396,20211201,202110,甫門企業有限公司,臺南市安南區新順里永安路６號,金屬製品業,金屬建築組件製造業,,金屬門窗,23.0458814838602,120.218109025786
55397,20211201,202110,震星機械股份有限公司,臺南市安南區安東里安和路二段５４巷１２１號,機械設備業,其他通用機械設備製造業,,鋼司、大柱、曲手軸,23.036781944094,120.21821949982
55398,20211201,202110,震勵機械股份有限公司,臺南市安南區安東里安和路二段５４巷１２１號Ａ棟、１２３號,機械設備業,其他通用機械設備製造業,,鋼套、大柱、曲手軸、各式機械零件加工,23.036781944094,120.21821949982
