Unnamed: 0,匯入時間,統計時間,縣市,站點UID,業管機關代碼,站點名稱,lat,lng
87512,20211201,202110,台南市,TNN10393,8,家齊高中,22.98137,120.20127
87513,20211201,202110,台南市,TNN10394,8,臺南高商,22.98135,120.20322
87514,20211201,202110,台南市,TNN10395,8,體育公園(臺南大學),22.98131,120.20641
87515,20211201,202110,台南市,TNN10396,8,竹溪寺(健康路),22.98122,120.20987
87516,20211201,202110,台南市,TNN10397,8,南台南,22.98012,120.21271000000002
87517,20211201,202110,台南市,TNN10398,8,大林新城,22.97731,120.21365
87518,20211201,202110,台南市,TNN10399,8,忠孝新村,22.97577,120.21405
87519,20211201,202110,台南市,TNN10400,8,大林,22.973370000000006,120.21451
87520,20211201,202110,台南市,TNN10401,8,亞伯大飯店,22.96827,120.21548
87521,20211201,202110,台南市,TNN10402,8,生產路口,22.96512,120.21613
87522,20211201,202110,台南市,TNN10403,8,龍寶路口,22.961170000000006,120.21687
87523,20211201,202110,台南市,TNN10404,8,仁愛里國泰社區,22.95406,120.21767
87524,20211201,202110,台南市,TNN10405,8,仁愛里國泰社區,22.95371,120.21791
