Unnamed: 0,匯入時間,統計時間,縣市ID,縣市名稱,鄉鎮市區ID,鄉鎮市區名稱,CODE3,用電戶數,用電度數,電費總額
8304,20210301,201901,67000,臺南市,67000200,新市區,A6700020008,2430.0,922400.0,2183900.0
8305,20210301,201901,67000,臺南市,67000200,新市區,A6700020009,2430.0,991400.0,1958900.0
8306,20210301,201901,67000,臺南市,67000200,新市區,A6700020010,2525.0,883600.0,1881800.0
8307,20210301,201901,67000,臺南市,67000200,新市區,A6700020011,4811.0,806800.0000000001,1527200.0
8308,20210301,201901,67000,臺南市,67000200,新市區,A6700020012,1765.0,681200.0,1498500.0
8309,20210301,201901,67000,臺南市,67000210,安定區,A6700021001,1321.0,376000.0,647900.0000000001
8310,20210301,201901,67000,臺南市,67000210,安定區,A6700021002,1345.0,403300.0,792700.0
8311,20210301,201901,67000,臺南市,67000210,安定區,A6700021003,,0.0,0.0
8312,20210301,201901,67000,臺南市,67000210,安定區,A6700021004,4484.0,633400.0,1478100.0
8313,20210301,201901,67000,臺南市,67000210,安定區,A6700021005,2928.0,528600.0,1072900.0
8314,20210301,201901,67000,臺南市,67000210,安定區,A6700021006,1384.0,469600.0,938100.0
8315,20210301,201901,67000,臺南市,67000210,安定區,A6700021007,2543.0,484000.0,874800.0
8316,20210301,201901,67000,臺南市,67000210,安定區,A6700021008,2531.0,402200.0,555600.0
8317,20210301,201901,67000,臺南市,67000210,安定區,A6700021009,2144.0,699900.0,1333500.0
8318,20210301,201901,67000,臺南市,67000210,安定區,A6700021010,2547.0,422600.0,739599.9999999999
8319,20210301,201901,67000,臺南市,67000210,安定區,A6700021011,1711.0,838000.0,2077700.0
8320,20210301,201901,67000,臺南市,67000210,安定區,A6700021012,1320.0,517800.0,1106900.0
8321,20210301,201901,67000,臺南市,67000220,山上區,A6700022001,38.0,1600.0,1500.0
8322,20210301,201901,67000,臺南市,67000220,山上區,A6700022002,3155.0,463000.0,712099.9999999999
8323,20210301,201901,67000,臺南市,67000220,山上區,A6700022003,2917.0,463000.0,689300.0000000001
8324,20210301,201901,67000,臺南市,67000220,山上區,A6700022004,2666.0,322299.99999999994,454500.0
8325,20210301,201901,67000,臺南市,67000230,玉井區,A6700023001,,0.0,0.0
8326,20210301,201901,67000,臺南市,67000230,玉井區,A6700023002,2005.0,194400.0,353800.0
8327,20210301,201901,67000,臺南市,67000230,玉井區,A6700023003,,0.0,0.0
8328,20210301,201901,67000,臺南市,67000230,玉井區,A6700023004,1536.0,365300.0,615200.0
8329,20210301,201901,67000,臺南市,67000230,玉井區,A6700023005,,0.0,0.0
8330,20210301,201901,67000,臺南市,67000230,玉井區,A6700023006,2012.0,580900.0,1102200.0
8331,20210301,201901,67000,臺南市,67000230,玉井區,A6700023007,1281.0,384600.0,654400.0
8332,20210301,201901,67000,臺南市,67000230,玉井區,A6700023008,1554.0,374800.0,775000.0
8333,20210301,201901,67000,臺南市,67000230,玉井區,A6700023009,2575.0,303000.0,407100.0
8334,20210301,201901,67000,臺南市,67000240,楠西區,A6700024001,813.0,178900.0,298600.0
8335,20210301,201901,67000,臺南市,67000240,楠西區,A6700024002,17.0,1800.0,2700.0
8336,20210301,201901,67000,臺南市,67000240,楠西區,A6700024003,1576.0,448800.0,830800.0
8337,20210301,201901,67000,臺南市,67000240,楠西區,A6700024004,2535.0,420400.0,825600.0
8338,20210301,201901,67000,臺南市,67000240,楠西區,A6700024005,2073.0,513100.0,964400.0
8339,20210301,201901,67000,臺南市,67000240,楠西區,A6700024006,6.0,400.0,900.0
8340,20210301,201901,67000,臺南市,67000250,南化區,A6700025001,1363.0,275300.0,324700.0
8341,20210301,201901,67000,臺南市,67000250,南化區,A6700025002,,0.0,0.0
8342,20210301,201901,67000,臺南市,67000250,南化區,A6700025003,1550.0,428500.0,694700.0
8343,20210301,201901,67000,臺南市,67000250,南化區,A6700025004,2982.0,388500.0,691600.0
8344,20210301,201901,67000,臺南市,67000260,左鎮區,A6700026001,1369.0,368700.0,558400.0
8345,20210301,201901,67000,臺南市,67000260,左鎮區,A6700026002,2107.0,228300.0,417800.0
8346,20210301,201901,67000,臺南市,67000270,仁德區,A6700027001,1308.0,477800.0,735000.0
8347,20210301,201901,67000,臺南市,67000270,仁德區,A6700027002,1637.0,586700.0,1158200.0
